Features,Emotion
"[-2.65418335e+02  7.82718735e+01 -2.68694649e+01  1.86829491e+01
 -6.35117531e+00  6.20030999e-01 -1.81727772e+01 -1.93764000e+01
  4.79598105e-01 -1.00345078e+01 -5.13730431e+00 -9.12749863e+00
 -4.59133434e+00  2.12651157e+00 -8.49413872e+00 -3.45623434e-01
  6.93269920e+00  2.03529453e+00  7.04185677e+00  5.97600937e+00
 -2.94114995e+00 -7.41510987e-02  2.41738367e+00  2.69904351e+00
  3.37578773e+00  6.79222918e+00  1.46924067e+00  6.39953756e+00
  5.79468822e+00  7.57578278e+00  5.64356899e+00  1.03789496e+00
  4.68980217e+00  1.27073753e+00 -3.95848662e-01  1.71411216e+00
  3.72431874e-01  3.80194950e+00  2.37439737e-01 -1.99478269e+00
  3.46399665e-01  2.90990859e-01  2.24239990e-01  1.98732182e-01
  2.96128392e-01  3.14601421e-01  3.11579645e-01  3.20726693e-01
  3.59140843e-01  4.16192621e-01  3.78364563e-01  3.54477525e-01
  1.54376406e+01  1.86662622e+01  2.09303054e+01  1.83944148e+01
  1.98245936e+01  2.00628269e+01  4.47225595e+01  3.69419643e+03
  1.03670635e-01]",radosc
"[-2.71402069e+02  9.36602859e+01  2.42255802e+01  3.66547656e+00
 -2.92048883e+00 -1.23498118e+00 -4.63417101e+00 -1.42699614e+01
 -2.58568192e+01 -9.78063464e-01 -8.30845833e+00 -1.03239250e+00
 -7.02746916e+00  3.38703704e+00 -9.06628668e-01 -8.31033766e-01
 -3.70547819e+00 -1.89634585e+00 -6.49360466e+00 -7.14456081e-01
 -3.47023225e+00 -2.61091948e-01 -6.04530430e+00 -3.85822368e+00
 -2.93455601e+00 -1.73484540e+00 -2.65797162e+00  3.81309152e+00
  7.15630949e-01  4.64013624e+00  2.48336267e+00 -2.46707082e-01
 -8.11119616e-01  7.00777626e+00  5.34072113e+00  1.20675325e+01
  9.81386375e+00  7.78131914e+00  3.88505936e+00  4.10861254e+00
  4.13992554e-01  3.81241381e-01  2.32496828e-01  2.09850371e-01
  3.00026000e-01  4.07033592e-01  5.25796413e-01  4.09258187e-01
  3.06208134e-01  3.97541076e-01  4.89727914e-01  3.56426865e-01
  2.07965406e+01  1.70049552e+01  2.06975592e+01  1.76246125e+01
  1.57305869e+01  1.90731768e+01  4.64212746e+01  3.71524100e+03
  1.41080177e-01]",radosc
"[-3.04648407e+02  7.35438919e+01 -6.67921975e-02  1.44065094e+01
  1.46202564e+01 -1.63010359e-01 -9.55261326e+00 -1.35088005e+01
 -6.21123314e+00 -2.62575388e+00 -6.12417364e+00 -7.88060009e-01
 -6.34491920e+00  4.62632596e-01 -1.98835945e+00 -3.76884198e+00
 -4.82921028e+00  1.18414021e+00 -4.94691277e+00 -1.74766958e-01
 -2.58148599e+00  2.54063892e+00 -5.73698759e+00 -1.55508339e+00
 -3.50719452e+00 -1.46265697e+00 -2.39019275e+00  2.68793011e+00
  5.56355286e+00  5.48725128e+00  5.64350080e+00  1.23798418e+01
  2.16351390e+00  3.72525454e+00  7.83535838e-01  1.46296299e+00
  2.85477489e-01  2.64072323e+00 -4.29317020e-02  1.37209082e+00
  3.49707246e-01  3.94826949e-01  4.41493690e-01  4.60337222e-01
  4.58599240e-01  4.31039870e-01  3.92830044e-01  4.56985950e-01
  5.89118719e-01  5.79551399e-01  4.86232132e-01  3.94016415e-01
  1.93584663e+01  1.45766053e+01  1.88302049e+01  1.51769849e+01
  1.82833276e+01  1.74186607e+01  4.78483773e+01  3.68245443e+03
  1.02498372e-01]",radosc
"[-2.99732330e+02  8.87159042e+01 -9.53714848e+00  1.93172722e+01
  1.19527721e+01  8.56295300e+00 -2.01861553e+01 -1.82879982e+01
 -1.63740654e+01 -1.27409410e+01 -6.65062368e-01 -6.38468170e+00
  6.08079076e-01 -2.80436516e+00  2.07174349e+00 -3.56002164e+00
 -6.32160378e+00  2.43166614e+00 -2.94710588e+00 -1.24880636e+00
 -3.90559244e+00 -2.27958918e+00 -4.13804674e+00 -2.96913385e+00
 -4.64998198e+00  1.94746292e+00 -2.12268424e+00  3.26740551e+00
  6.81285191e+00  9.41004181e+00  9.07606697e+00  9.90076828e+00
  6.40850782e+00  5.74139929e+00  2.02043486e+00  2.80830121e+00
  2.89623857e-01  6.31631660e+00 -1.63857996e+00  3.95641208e+00
  2.74446905e-01  2.48748243e-01  2.44987786e-01  2.42933720e-01
  2.48010337e-01  2.35331893e-01  3.30967069e-01  5.10136485e-01
  4.94498581e-01  4.71015245e-01  3.61767203e-01  2.61972159e-01
  2.01584214e+01  1.76061851e+01  2.23502053e+01  1.69814901e+01
  1.91563163e+01  1.64671529e+01  4.63905805e+01  2.79014757e+03
  5.97547743e-02]",radosc
"[-3.32691437e+02  8.48302383e+01  1.75265179e+01 -2.60275364e+00
  8.98733234e+00 -1.70483818e+01 -2.15773602e+01 -2.18479214e+01
 -1.87465012e+00 -4.66949892e+00 -1.19114885e+01  1.28897676e+01
 -4.11678743e+00  3.79403973e+00 -5.24969482e+00  4.37890351e-01
  7.56291509e-01 -1.70022905e-01 -2.25881171e+00  5.48181295e+00
 -2.16908836e+00  8.81141567e+00  3.86925054e+00  8.51173210e+00
  1.26032248e+01  1.02895012e+01  1.06245804e+01  9.23672295e+00
  8.96345043e+00  8.36386585e+00  3.90864372e+00  3.57420444e+00
 -2.14862967e+00  3.11291099e+00 -1.73796248e+00 -5.37877321e-01
 -2.22554779e+00  7.83388674e-01 -2.76007032e+00 -2.60439587e+00
  5.62608302e-01  4.44703162e-01  3.44323754e-01  1.84828416e-01
  1.62403464e-01  1.64541870e-01  1.34491906e-01  1.20993525e-01
  1.86994046e-01  3.14542472e-01  4.61005569e-01  5.09939969e-01
  1.60383232e+01  1.94955506e+01  1.96016760e+01  1.71448011e+01
  1.89181792e+01  1.88229958e+01  4.67219091e+01  4.50666756e+03
  1.82996026e-01]",radosc
"[-2.89777649e+02  6.78314133e+01 -1.01592464e+01  1.84268780e+01
  1.88484993e+01 -7.19568539e+00 -5.21115828e+00 -1.96494160e+01
 -2.11426697e+01  1.02034748e+00 -1.02433844e+01 -4.76026678e+00
  1.00290656e+00 -7.53723478e+00 -4.84404516e+00  2.63948560e+00
 -1.00684996e+01  2.22638965e+00 -3.77170420e+00 -6.26662922e+00
 -7.36650467e+00 -3.32376742e+00 -3.79390621e+00  1.96336675e+00
  3.29506922e+00  1.32536373e+01  9.25895691e+00  1.02217417e+01
  6.34841108e+00  3.78211093e+00  1.62489319e+00  2.58862591e+00
  2.34980345e+00  4.96283233e-01  2.92253232e+00  2.24409080e+00
  1.24261355e+00  3.55168438e+00 -2.73957872e+00  1.88872969e+00
  5.00170350e-01  4.15241718e-01  3.62121075e-01  2.76719987e-01
  2.26518676e-01  2.26903662e-01  2.81236947e-01  3.88072014e-01
  4.68060046e-01  4.77539629e-01  5.18844366e-01  5.48462451e-01
  1.81636172e+01  1.62081532e+01  2.00065995e+01  1.82565107e+01
  1.91095270e+01  2.08515462e+01  4.83790855e+01  4.15785200e+03
  1.08661780e-01]",radosc
"[-3.22959045e+02  1.01286293e+02 -1.43528824e+01  2.50778503e+01
 -8.95754433e+00 -1.08654327e+01 -8.65490913e+00 -1.59386158e+01
 -7.33756208e+00 -2.21905975e+01 -1.67038405e+00  6.92391109e+00
 -1.60353832e+01  9.97659016e+00 -1.17519498e+00 -9.18793392e+00
 -1.47875762e+00 -9.12450671e-01 -5.72629976e+00 -1.25253677e+00
 -1.40939748e+00 -6.02569628e+00 -5.13709879e+00  4.05226326e+00
  4.91328382e+00  1.13164930e+01  9.45076847e+00  1.03182755e+01
  7.98359537e+00  6.57439470e+00  3.34617114e+00  5.61153364e+00
  3.87907839e+00  5.35335302e+00  3.08232069e+00  4.46843052e+00
  3.25697637e+00  3.63015461e+00 -1.88374245e+00 -1.10260224e+00
  4.84618425e-01  3.95146370e-01  2.74161875e-01  1.99486420e-01
  2.09445670e-01  2.60452300e-01  3.38500530e-01  2.98487604e-01
  2.40878597e-01  3.64178360e-01  4.63694900e-01  4.61396933e-01
  1.80529476e+01  1.95913263e+01  2.08226872e+01  1.75422847e+01
  1.92645362e+01  2.24379299e+01  4.83083081e+01  3.61182202e+03
  1.01377290e-01]",radosc
"[-3.03192322e+02  6.80455399e+01 -2.12434120e+01  2.25808010e+01
  1.09884214e+01 -1.02514973e+01 -2.46165161e+01 -2.43427429e+01
 -3.10897708e+00 -1.43880339e+01 -1.23966732e+01  2.21643305e+00
 -1.42068386e+01  1.00407953e+01  1.45106697e+00 -1.59197760e+01
  5.06908703e+00  6.25105381e-01 -4.57668543e+00  1.02934532e+01
  5.11783409e+00  7.67169952e+00  1.21026230e+01  8.14920044e+00
  1.57868595e+01  9.54602242e+00  8.38057327e+00  9.92962074e+00
 -3.28474259e+00  6.06283998e+00  3.11052394e+00  5.89958572e+00
  5.63839793e-01  2.08640718e+00 -6.66051912e+00  1.25451398e+00
 -1.26358318e+00  1.58413696e+00 -3.48283291e+00  3.90617460e-01
  4.30633187e-01  3.54583144e-01  2.96446502e-01  2.52789885e-01
  2.17459619e-01  1.86639905e-01  1.70308620e-01  1.40616342e-01
  2.56833941e-01  2.74226338e-01  2.22444221e-01  3.21373135e-01
  1.76199901e+01  2.16156024e+01  2.34142867e+01  1.88385376e+01
  2.10637200e+01  2.25137649e+01  4.68446555e+01  4.11392212e+03
  1.18644714e-01]",radosc
"[-2.75080017e+02  9.62683716e+01  5.45023155e+00  2.49953251e+01
  1.85973911e+01 -1.46981430e+00  6.40845346e+00 -1.39386539e+01
 -1.17632008e+01  4.41904688e+00 -9.88606071e+00  2.53211641e+00
 -3.41601044e-01 -2.13656378e+00  5.39328671e+00 -3.37250781e+00
 -4.18900585e+00  2.54212999e+00 -6.30798626e+00 -3.55282545e-01
  8.20090175e-01 -3.27487636e+00 -4.59469318e+00  2.39154863e+00
 -5.32301044e+00 -6.87860489e-01 -3.09296465e+00 -1.77725863e+00
 -3.31172943e+00 -2.18066859e+00 -1.58773351e+00 -1.66682315e+00
 -2.60457945e+00 -8.92485917e-01 -4.93313730e-01 -1.80026412e+00
 -2.87198687e+00  4.63378519e-01 -4.80988836e+00 -3.63853276e-01
  4.20234263e-01  4.23068762e-01  4.15991962e-01  5.05408645e-01
  4.21745390e-01  2.70117700e-01  2.53021359e-01  3.34304303e-01
  4.88607019e-01  5.62344849e-01  5.16526759e-01  4.41869557e-01
  2.35810911e+01  1.82052195e+01  1.96786824e+01  1.56559590e+01
  1.68420434e+01  2.10415393e+01  4.62262573e+01  3.24230957e+03
  7.31201172e-02]",radosc
"[-3.10948395e+02  8.28164749e+01 -1.79109898e+01  1.10016012e+01
  1.53822875e+00 -1.38259325e+01 -6.88247585e+00 -1.87031288e+01
 -1.88132896e+01 -9.29357815e+00 -8.95840645e+00  5.58592987e+00
 -4.12452221e+00  1.08136768e+01  7.98111057e+00 -7.73544693e+00
 -1.39396715e+00  1.93457234e+00 -4.21885681e+00  3.05260181e+00
 -2.15941116e-01 -6.67313766e+00  2.28999957e-01  4.48636961e+00
  6.78075075e+00  4.83452845e+00  3.63864899e+00  4.17850685e+00
 -1.34825623e+00  4.09559011e+00  3.91970348e+00  8.31367970e+00
  2.84741092e+00  8.50052547e+00  5.91802931e+00  8.58206654e+00
  5.40281391e+00  8.71311951e+00  1.74590158e+00  2.40820813e+00
  3.95125538e-01  4.00626242e-01  2.96485364e-01  2.18778923e-01
  2.52531767e-01  3.02414358e-01  3.52154136e-01  3.48478705e-01
  3.46869171e-01  3.27958196e-01  3.28996927e-01  3.21171671e-01
  2.02476240e+01  2.09913399e+01  2.32061111e+01  1.87098706e+01
  1.85162374e+01  2.04191723e+01  4.68740873e+01  3.87858073e+03
  7.37304688e-02]",radosc
"[-2.49713959e+02  6.01666985e+01 -1.94701900e+01  3.13854351e+01
 -1.20809755e+01 -1.01350136e+01 -1.93498497e+01 -1.76696758e+01
  2.29985431e-01 -1.72508812e+01 -7.17166090e+00 -1.50358782e+01
 -2.61905217e+00 -2.18086505e+00 -8.84523010e+00  6.28709602e+00
  9.96675968e+00  8.33160019e+00  1.35769815e+01  1.65834045e+01
  4.01639795e+00  7.50267506e+00  4.67876911e+00  1.88071072e-01
 -7.61599183e-01  3.63496542e+00 -2.23430181e+00 -4.97792244e-01
 -3.01145017e-01  1.67445922e+00  2.64799023e+00  3.47219920e+00
 -3.70199919e-01  1.48666275e+00  6.03445053e-01 -9.76229548e-01
  1.24440837e+00  5.08880663e+00  4.00340652e+00 -7.55437672e-01
  2.46452853e-01  2.08788201e-01  2.07109988e-01  2.29993910e-01
  3.28863859e-01  3.93800437e-01  3.22643012e-01  2.78952420e-01
  3.69110435e-01  3.77242833e-01  2.95962095e-01  2.48373643e-01
  1.55433283e+01  2.25730019e+01  2.28394317e+01  2.01900698e+01
  2.10527806e+01  2.03578045e+01  4.46938237e+01  4.12085262e+03
  1.22745467e-01]",radosc
"[-3.85080414e+02  8.29371643e+01  5.67498493e+00  3.45264626e+01
  1.21170740e+01  1.66696835e+01 -1.39441719e+01 -1.77779636e+01
 -4.48279572e+00 -2.22420025e+00 -1.25269127e+01  7.39121151e+00
 -2.28781128e+00 -5.50681639e+00  1.22429228e+00 -3.18639350e+00
 -5.24884987e+00 -5.88770211e-01 -7.51795053e-01 -2.05841586e-02
 -3.14034510e+00 -2.33415484e+00 -4.78825903e+00 -3.28251767e+00
 -6.36354923e+00 -3.43403637e-01 -9.29287612e-01  1.68629670e+00
 -1.29436326e+00  2.70477009e+00 -2.11154318e+00  2.53644729e+00
 -6.12618566e-01  2.01033568e+00  2.00841451e+00  5.01043892e+00
 -1.51830530e+00  2.51919007e+00  2.67059827e+00  1.70388031e+00
  4.31057543e-01  3.66297573e-01  3.35370690e-01  3.06504905e-01
  3.39936137e-01  4.03375417e-01  5.15630245e-01  4.91322458e-01
  3.87294173e-01  3.94954175e-01  4.49184746e-01  5.00335455e-01
  2.14534564e+01  1.61093414e+01  2.04541546e+01  1.58051703e+01
  1.92862489e+01  1.83183203e+01  4.87689899e+01  3.40169271e+03
  7.09838867e-02]",radosc
"[-2.74067596e+02  7.32030487e+01  4.10834408e+00 -1.54383354e+01
 -4.69373560e+00 -2.13018475e+01 -1.00855627e+01 -1.44905796e+01
 -1.50695562e+01 -2.99964833e+00 -9.84702587e+00 -5.30921984e+00
 -4.69814062e+00  1.02183247e+01  6.53410244e+00  3.01161361e+00
  1.00121269e+01  1.34365768e+01  9.19699383e+00  8.61984634e+00
 -2.38151050e+00  1.87946752e-01 -2.87156940e+00  3.03823447e+00
 -1.33704257e+00  3.61281335e-02 -1.42379284e+00  4.77290678e+00
  3.01912165e+00  3.46423101e+00 -5.83621442e-01  4.25017834e+00
  6.66164017e+00  6.90210009e+00  4.01911688e+00  6.89981985e+00
 -1.27310741e+00  2.66668272e+00 -3.14552832e+00  7.03599572e-01
  3.06272477e-01  2.48691678e-01  3.10991824e-01  2.03781337e-01
  1.83686107e-01  2.12054148e-01  3.28578740e-01  4.85805541e-01
  4.29682344e-01  3.70381594e-01  4.21836436e-01  4.27153945e-01
  1.66964975e+01  1.93877677e+01  2.17471516e+01  1.86020871e+01
  1.74463140e+01  1.88314524e+01  4.79331808e+01  4.66392780e+03
  1.99286099e-01]",radosc
